sales_item,mapped_items,GramsPerServing,Calories,Protein,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Vitamin D (D2 + D3),Calcium,Iron,Potassium,Vitamin A,Vitamin C,HasNutrients,DietaryRestrictions,ReligiousRestrictions,method,n_candidates,sales_volume,HealthScore
BLUEBERRY BREAD W/ STRING CHEESE,"Turkey & Cheese on loco bread, Blueberry Bread, String Cheese",63.0,218.0,6.0,32.0,2.0,3.0,1.0,9.0,3.0,0.0,20.0,200.0,0.0,198.0,1.0,74.0,,,1,,,median_over_topK,5,93969,214.97177685312454
ORANGE CHICKEN ELEMENTARY,"Orange Chicken, Orange Slices, Orange Sauce",117.3495,83.0,2.0,20.0,1.0,12.0,10.0,0.0,0.0,0.0,0.0,123.0,0.0,13.0,1.0,257.0,0.0,0.0,1,,,median_over_topK,5,90287,-6.344780390693046
BREADED CHICKENLESS BITES ELEMENTARY,"Chicken, Bites, Breaded, Wrap, Breaded Chicken, Spicy Breaded Chicken Patty on Bun",102.0582,210.0,17.0,15.0,1.0,0.0,0.0,11.0,1.0,0.0,40.0,534.0,1.0,13.0,2.0,194.5,7.5,0.0,1,,,median_over_topK,5,89010,28.453451698935897
MANAGERS CHOICE,"Manager's Vegetable Choice, Tangerine Whole, Pasta, Baked Penne",120.3495,213.5,17.0,23.0,2.0,10.0,2.0,7.5,1.5,0.0,48.0,494.0,0.0,38.5,2.0,373.0,772.0,30.0,1,,,median_over_topK,5,86640,150.36134966082867
PEPPERONI PIZZA SECONDARY,"Pizza, Turkey Pepperoni, Slice, Turkey Pepperoni Pizza, Turkey Pepperoni Lasagna",149.68536,336.0,21.0,30.0,3.0,6.0,1.0,13.0,5.0,0.0,35.0,569.0,0.0,443.0,2.0,260.0,450.0,7.5,1,,,median_over_topK,5,83170,110.8610627353507
CHEESEBURGER SECONDARY,"Turkey Bacon Cheeseburger, Cheeseburger, Egg and American Cheese on English Muffin",148.486375,293.0,21.0,30.0,4.0,4.0,3.0,11.0,6.0,0.0,38.0,620.0,7.0,197.0,2.0,177.0,0.0,0.0,1,,,median_over_topK,5,81734,23.252882675152506
MANAGER'S CHOICE,"Manager's Vegetable Choice, Fruit Snacks, Welch's Mixed, Lay's RF Kettle Original Chips",42.52425,60.0,1.0,15.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,42.0,0.0,188.0,772.0,30.0,0,,,median_over_topK,5,78180,133.69199475835632
EGG & CHEESE ON BISCUIT,Egg and American Cheese on English Muffin + Egg and American Cheese on Biscuit,232.24265,522.0,23.0,55.0,3.0,6.0,2.0,23.0,9.0,0.0,18.0,1202.0,2.0,406.0,3.0,624.0,0.0,0.0,2,0.0,0.0,composite_sum,2,73158,17.8078989190046
BLUEBERRY MUFFIN W/ STRING CHEESE,"Egg and American Cheese on English Muffin, Blueberry Muffin Top, String Cheese",59.53395,200.0,7.0,24.0,1.0,2.0,1.0,8.0,4.0,0.0,20.0,200.0,0.5,198.0,1.0,55.0,,,1,,,median_over_topK,5,72207,209.10985563008543
ALC MILK,"1% White Milk, Fat Free White Milk, Fat Free Chocolate Milk",226.796,110.0,9.0,13.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,130.0,3.0,310.0,0.0,410.0,155.0,0.0,1,,,median_over_topK,5,72153,63.7048238019561
SPICY CHICKEN WRAP SECONDARY,"Spicy Chicken Wrap, Wrap, Spicy Chicken on 6 Inch Tortillas, Shredded Chicken Wrap",171.0,431.0,23.0,44.0,4.0,2.0,1.0,17.0,3.0,0.0,50.0,668.0,7.0,121.0,3.0,100.0,36.0,0.0,1,,,median_over_topK,5,71526,46.58485607743117
TURKEY SAUSAGE ON BISCUIT,"Turkey Sausage Breakfast Biscuit, Turkey & Cheese on Biscuit, Egg and American Cheese on Biscuit",110.972795,272.0,12.0,28.0,2.0,3.0,2.0,15.0,6.0,0.0,37.0,488.0,0.5,160.0,2.0,403.5,7.0,0.0,1,,,median_over_topK,5,64484,8.914410691688062
CHEEZ-IT,"WG Cheez-Its Cheddar, Vending Only, Cheez-Its Crackers, Tangerine Whole",113.398,200.0,10.0,21.5,2.5,5.5,0.0,7.0,3.0,0.0,16.5,280.0,0.0,79.5,1.5,153.0,442.0,6.0,1,,,median_over_topK,5,63369,74.6259796351573
MEATBALL SUB ELEM,"Asian Meatball Sub, Beef Meatball Sub Sandwich, Beef Meatballs",218.7601706,412.0,19.0,35.0,6.0,8.0,1.0,18.0,5.0,1.0,61.0,668.0,7.0,174.0,3.0,421.0,1961.0,2.0,1,,,median_over_topK,5,61225,142.28129433144284
PASTA W/ MEATBALLS ELEMENTARY,"Penne Pasta with Marinara and Beef Meatballs, Penne Pasta with Marinara and Beef Meatballs, Pasta, Frozen, Penne",489.4203431,397.0,25.0,49.0,6.0,9.0,2.0,18.0,8.0,0.0,62.0,668.0,0.0,301.0,3.0,469.0,798.0,46.0,1,,,median_over_topK,5,60916,186.67083551284338
ASIAN VEGGIE SUB-ES,"Asian Veggie Sub, Hard Boiled Eggs, Egg and American Cheese on English Muffin",111.805775,226.0,11.0,28.0,2.0,3.0,2.0,8.0,2.0,0.0,9.0,591.0,1.0,188.0,1.0,177.0,1110.5,1.0,1,,,median_over_topK,5,59322,114.37471177409832
CHICKEN TIKKA MASALA W/ RICE,"Chicken Tikka Masala, Chicken Tikka Masala, Tikka Masala Sauce",99.22325,126.0,18.5,2.0,0.0,0.5,0.5,5.5,1.0,0.0,70.5,399.5,0.0,0.0,1.0,282.0,,,1,,,median_over_topK,5,57536,228.40338164251207
FRUIT SNACKS,"Fruit Snacks, Welch's Mixed, Mixed Dried Fruit, Assorted Whole Fruit",127.1947567,87.0,1.0,22.0,2.0,15.0,4.0,0.0,0.0,0.0,0.0,25.0,0.0,14.0,1.0,237.0,126.5,35.0,1,,,median_over_topK,5,55112,62.96959068488841
GRILLED CHEESE SANDWICH ELEMENTARY,"Grilled Cheese Sandwich, Tomato Grilled Cheese Sandwich, Sandwich, Turkey & Cheese on Sub Roll",118.0,280.0,18.0,35.0,4.0,6.0,2.5,10.0,5.0,0.0,30.0,886.0,4.0,380.0,2.0,300.0,0.0,0.0,1,,,median_over_topK,5,53815,27.859870506932197
CHICKENLESS BITES W/ ORANGE SAUCE W/RICE,Orange Chickenless Bites + Cooked  Brown Rice,337.8828333,447.0,18.0,78.0,4.0,13.0,10.0,10.0,1.0,0.0,0.0,436.0,0.0,45.0,3.0,670.0,0.0,0.0,2,0.0,0.0,composite_sum,2,52841,40.08375311009323
CHEESE QUESADILLA ELEMENTARY,"Chicken and Cheese Quesadilla, Egg & Cheese Breakfast Quesadilla, Quesadilla, Turkey Barbacoa and Cheese",137.6931766,351.0,21.0,32.0,3.0,3.0,1.0,17.0,8.0,0.0,43.0,635.0,1.0,259.0,2.0,217.0,,,1,,,median_over_topK,5,52355,219.58942441375862
ALC BREAKFAST ENTREE,"Natural Breakfast Syrup, Black Beans - salad bar entree, Chickpeas - salad bar entree",110.972795,130.0,4.0,23.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,140.0,0.0,48.0,1.0,71.0,7.0,,1,,,median_over_topK,5,45525,115.40813287042413
ALC VEGETABLE/FRUIT,"Assorted Whole Fruit, Chicken & Vegetable Dumplings, Fruit Snacks, Welch's Mixed",127.1947567,240.0,16.0,31.0,4.0,3.0,0.5,5.0,0.0,0.0,0.0,363.0,0.0,36.0,3.0,281.0,160.0,37.0,1,,,median_over_topK,5,43693,112.82982551851534
STRAWBERRY PARFAIT,"Strawberry Parfait, Strawberry Parfait Power Pack, Strawberry Parfait Power Pack w/Egg",302.260155,250.0,7.0,55.0,4.0,36.0,15.0,2.0,0.0,0.0,3.0,63.0,3.0,308.0,1.0,449.0,978.0,31.0,1,,,median_over_topK,5,41992,166.2500758407083
CHICKENLESS BITE W/ MAPLEL WAFFLE SECONDARY,"Sweet Thai Chili Chickenless Bites, BBQ Chickenless Bites, Korean BBQ Chickenless Bites",117.3495,205.0,12.0,26.0,3.0,8.0,5.0,8.0,1.0,0.0,0.0,524.0,0.0,42.0,2.0,561.0,0.0,0.0,1,,,median_over_topK,5,41683,22.477135222838527
ORANGE CHICKEN SECONDARY,"Orange Chicken, Orange Slices, Orange Sauce",117.3495,83.0,2.0,20.0,1.0,12.0,10.0,0.0,0.0,0.0,0.0,123.0,0.0,13.0,1.0,257.0,0.0,0.0,1,,,median_over_topK,5,36447,-6.344780390693046
BEAN & CHEESE PUPUSA-ES,Black Bean and Corn Salad + Bean and Cheese Pupusa,262.15792,390.0,18.0,55.0,8.0,2.0,0.0,11.0,3.0,0.0,15.0,550.0,0.0,274.0,2.0,419.0,0.0,0.0,2,0.0,0.0,composite_sum,2,36158,62.372950688350656
ASIAN BEEF MEATBALL SUB-ES,"Asian Meatball Sub, Beef Meatball Sub Sandwich, Asian Veggie Sub",218.7601706,412.0,19.0,35.0,6.0,8.0,4.0,16.0,4.0,1.0,48.0,802.0,7.0,174.0,3.0,421.0,1961.0,2.0,1,,,median_over_topK,5,36083,135.4552073749211
NACHOS W/ TURKEY BARBACOA & CHEESE SAUCE ES,Nachos with Turkey Barbacoa and Cheese Sauce + Nachos with Black Beans and Cheese Sauce,342.2581562,874.0,33.0,98.0,7.0,8.0,0.0,38.0,11.0,0.0,44.0,1456.0,0.0,396.0,2.0,921.0,0.0,0.0,2,0.0,0.0,composite_sum,2,35887,33.02422949377521
MANDARIN PARFAIT,"Mandarin Orange Parfait, Mandarin  Parfait Power Pack, Peach Parfait",334.01349,258.0,7.0,56.0,3.0,36.0,16.0,2.0,0.0,0.0,3.0,63.0,3.0,308.0,2.0,478.0,1696.0,68.0,1,,,median_over_topK,5,33453,208.90218483660226
PASTA W/MEATBALLS SECODNARY,"Pasta, Baked Penne + Penne Pasta with Marinara and Beef Meatballs",1490.321186,1123.0,66.0,108.0,15.0,32.0,4.0,48.0,22.0,1.0,124.0,1793.0,0.0,1325.0,8.0,1762.0,0.0,0.0,2,0.0,0.0,composite_sum,2,32349,135.450968617968
SIMPLY CHEX,"Cinnamon Chex Cereal, Blueberry Chex Cereal, Strawberry Chex Mix",56.0,230.0,3.0,46.0,2.0,12.0,12.0,5.0,1.0,0.0,0.0,320.0,2.0,100.0,14.0,0.0,500.0,6.0,1,,,median_over_topK,3,28761,116.56416123921846
NACHOS W/CHEESE-SECON DARY,Make Your Own Nachos + Egg and American Cheese on English Muffin,243.914445,524.0,26.0,52.0,3.0,10.0,0.0,24.0,9.0,0.0,19.0,1448.0,1.0,580.0,1.0,889.0,0.0,0.0,2,0.0,0.0,composite_sum,2,28275,25.545788021371038
ALFREDO LASAGNA-ES,"Alfredo & Basil Lasagna, Turkey Pepperoni Lasagna, Broccoli Alfredo Penne - ALC",199.507414,339.5,22.5,35.0,2.5,7.0,0.5,9.5,4.0,0.0,40.0,501.0,0.0,328.0,1.5,265.5,402.0,6.0,1,,,median_over_topK,5,25550,103.2557542186784
FISH TACOS ON TORTILLA-ES,"Bean Street Tacos on Flour Tortillas, Soft Beef Taco on Flour Tortilla, Turkey Barbacoa Tacos on Flour Tortillas",180.4443055,330.0,19.0,43.0,5.0,2.0,2.0,12.0,4.0,0.0,45.0,630.0,1.0,61.0,3.0,212.0,,,1,,,median_over_topK,5,25088,228.94055087194968
TURKEY & CHEESE ON BISCUIT,Turkey Barbacoa + Egg and American Cheese on Biscuit,204.351395,396.0,24.0,33.0,2.0,4.0,2.0,19.0,8.0,0.0,59.0,1091.0,1.0,218.0,3.0,460.0,0.0,0.0,2,0.0,0.0,composite_sum,2,25083,9.22541980797007
NACHOS W/TACO MEAT&CHEESE-SEC ONDARY,"Make Your Own Nachos + Beef, Taco Meat, Pre-Cooked + Egg and American Cheese on English Muffin",333.78236,637.0,39.0,57.0,5.0,12.0,0.0,29.0,11.0,0.0,53.0,1744.0,1.0,626.0,3.0,1711.0,0.0,0.0,3,0.0,0.0,composite_sum,3,24871,68.33918461563428
CHICKEN DUMPLING SECONDARY,"Chicken Alfredo Pasta, Korean Chicken Drumstick, Chicken, Wings, Pre-Cooked",141.7475,240.0,24.0,16.0,1.0,5.0,0.0,8.0,1.0,0.0,83.0,377.0,0.0,35.0,2.0,305.0,156.0,1.0,1,,,median_over_topK,5,22608,72.15141259301149
SANDWICH (SEC),"Crispy Chicken Sandwich, Peanut Butter and Jelly Sandwich, IW, Turkey Bacon, Egg & Cheese Bagel Sandwich",113.52425,280.0,16.0,32.0,4.0,4.0,3.0,10.0,3.0,0.0,28.0,610.0,7.0,181.0,1.0,226.0,0.0,0.0,1,,,median_over_topK,5,22546,22.074328471621428
SALAD BAR ELEMENTARY,"Black Beans - salad bar entree, Chickpeas - salad bar entree, Lettuce, Green Salad Mix",130.0,80.0,4.0,14.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,140.0,0.0,27.0,1.0,97.0,344.0,2.0,1,,,median_over_topK,5,22506,63.27576430580472
ORANGE CHICKENLESS BITE SECONDARY,"Orange Chickenless Bites, Mandarin Orange Parfait, Orange Slices",117.3495,83.0,2.0,20.0,3.0,13.5,10.0,0.0,0.0,0.0,0.0,63.0,0.0,40.0,1.0,257.0,252.0,13.0,1,,,median_over_topK,5,22425,46.04844067758523
YOGURT POWER PACK SECONDARY,"Peach Yogurt Power Pack, Cherry Vanilla Yogurt Power Pack, Strawberry & Banana Yogurt Power Pack",203.0,320.0,14.0,51.0,3.0,16.0,10.0,7.0,4.0,0.0,25.0,392.5,4.0,499.5,2.0,300.5,0.0,0.0,1,,,median_over_topK,5,21252,37.1921071149612
CHICKEN & CHEESE QUESADILLA SECONDARY,Chicken Alfredo Pasta + Chicken and Cheese Quesadilla,762.3960616,659.0,45.0,77.0,7.0,8.0,1.0,20.0,7.0,0.0,91.0,1012.0,0.0,438.0,4.0,610.0,0.0,0.0,2,0.0,0.0,composite_sum,2,20833,104.14039290688592
BBQ CHICKEN SANDWICH ELEMENTARY,"BBQ Chicken Sandwich, Crispy Chicken Sandwich, Chicken Philly Sandwich",151.3689,331.0,24.0,41.0,4.0,11.0,3.0,11.0,2.0,0.0,54.0,610.0,7.0,122.0,2.0,360.0,18.0,321.0,1,,,median_over_topK,5,19283,150.33379066632878
TRIPLE BERRY PARFAIT,"Parfait, Triple Berry, Triple Berry Parfait Power Pack, Mandarin Orange Parfait",218.064035,220.0,6.0,46.0,4.0,26.0,15.0,2.0,0.0,0.0,3.0,53.0,3.0,296.0,1.0,323.0,1696.0,22.0,1,,,median_over_topK,5,18500,150.90701741901898
FIELD TRIP LUNCH ELEMENTARY,"Egg and Cheese Burrito - For Lunch, Frozen Berry, Triple Berry Blend, Red Pepper Strips",125.786375,216.0,6.0,31.0,3.0,7.0,7.5,2.0,0.0,0.0,3.0,53.0,1.0,138.0,1.0,137.0,994.0,13.0,1,,,median_over_topK,5,17972,137.16414550929377
BISCUIT & JELLY,"Turkey Sausage Breakfast Biscuit + Peanut Butter and Jelly Sandwich, IW",184.681495,597.0,21.0,60.0,6.0,17.0,14.0,33.0,10.0,0.0,37.0,768.0,0.0,146.0,3.0,360.0,7.0,0.0,2,0.0,0.0,composite_sum,2,17454,-13.614868607273308
TURKEY BARBACOA AREPAS W/ CHEESE ES,"Nachos with Turkey Barbacoa and Cheese Sauce, Quesadilla, Turkey Barbacoa and Cheese, Turkey Barbacoa & Cheese Taco",164.7669375,322.0,24.0,32.0,3.0,4.0,1.0,11.0,3.0,0.0,39.0,870.0,4.0,190.0,2.0,315.0,,,1,,,median_over_topK,5,16774,237.671186315132
STRING CHEESE,"String Cheese, Cheese, String, Mozzarella, Low-Fat IW, Egg and American Cheese on English Muffin",111.805775,216.0,12.0,24.0,1.0,2.0,0.0,6.0,2.0,0.0,20.0,441.0,1.0,198.0,1.0,177.0,0.0,0.0,1,,,median_over_topK,5,16609,24.096904658762593
SALAD BAR SECONDARY,"Black Beans - salad bar entree, Chickpeas - salad bar entree, Lettuce, Green Salad Mix",130.0,80.0,4.0,14.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,140.0,0.0,27.0,1.0,97.0,344.0,2.0,1,,,median_over_topK,5,16411,63.27576430580472
CHEESE QUESADILLA SECONDARY,"Chicken and Cheese Quesadilla, Egg & Cheese Breakfast Quesadilla, Quesadilla, Turkey Barbacoa and Cheese",137.6931766,351.0,21.0,32.0,3.0,3.0,1.0,17.0,8.0,0.0,43.0,635.0,1.0,259.0,2.0,217.0,,,1,,,median_over_topK,5,15777,219.58942441375862
FISH W/ ROLL-SECONDARY,"Fish Filet Potato Encrusted, Sub Roll, Whole Wheat Dinner Roll",102.0582,202.0,14.0,27.0,4.0,2.0,2.0,10.0,2.0,0.0,45.0,293.0,1.0,48.0,1.0,374.0,0.0,0.0,1,,,median_over_topK,5,14577,31.42727801976062
MINI CHEESE CALZONE SECONDARY,"Calzone, Cheese, Egg and American Cheese on English Muffin, Cream Cheese",120.135875,255.0,12.0,29.0,3.0,4.0,2.0,8.0,4.0,0.0,20.0,591.0,1.0,190.0,1.0,177.0,0.0,0.0,1,,,median_over_topK,5,14483,8.222938807680038
CHICKEN TENDER ON BISCUIT,"Egg and American Cheese on Biscuit, Turkey & Cheese on Biscuit, Chicken & Biscuit Sandwich",113.3495,285.0,11.0,30.0,2.0,3.0,2.0,12.0,6.0,0.0,20.0,488.0,0.0,123.0,2.0,360.0,12.5,,1,,,median_over_topK,5,14187,103.57992299827346
CHICKEN ON BUN SECONDARY,"Spicy Breaded Chicken Patty on Bun, Wrap, Spicy Chicken on 6 Inch Tortillas, Chicken Masala Drumstick",141.7475,239.0,22.0,8.0,1.0,2.0,1.0,11.0,1.0,0.0,83.0,350.0,0.0,49.0,1.0,250.5,46.0,0.0,1,,,median_over_topK,5,14173,48.00595926948232
HOT TURKEY AND CHEESE SANDWICH ELEMENTARY,"Hot Turkey & Cheese + Sandwich, Turkey & Cheese on Sub Roll",243.02425,485.0,40.0,63.0,8.0,8.0,3.0,13.0,5.0,0.0,58.0,1623.0,8.0,410.0,3.0,627.0,0.0,0.0,2,0.0,0.0,composite_sum,2,13782,67.98948966381656
GRILLED CHEESE SANDWICH SECONDARY,"Grilled Cheese Sandwich, Tomato Grilled Cheese Sandwich, Sandwich, Turkey & Cheese on Sub Roll",118.0,280.0,18.0,35.0,4.0,6.0,2.5,10.0,5.0,0.0,30.0,886.0,4.0,380.0,2.0,300.0,0.0,0.0,1,,,median_over_topK,5,13442,27.859870506932197
VEGGIE DUMPLINGS SECONDARY,"Asian Veggie Sub, Hard Boiled Eggs, Egg and American Cheese on English Muffin",111.805775,226.0,11.0,28.0,2.0,3.0,2.0,8.0,2.0,0.0,9.0,591.0,1.0,188.0,1.0,177.0,1110.5,1.0,1,,,median_over_topK,5,12532,114.37471177409832
TURKEY BARBACOA QUESADILLA SECONDARY,"Quesadilla, Turkey Barbacoa and Cheese, Turkey Barbacoa, Turkey Barbacoa Tacos on Flour Tortillas",166.9786013,322.0,23.0,32.0,3.0,2.0,0.5,11.0,4.0,0.0,63.0,855.0,0.0,117.0,1.0,122.0,,,1,,,median_over_topK,5,12498,216.8721240350336
BEAN & CHEESE PUPUSA SECONDARY,Black Bean and Corn Salad + Bean and Cheese Pupusa,262.15792,390.0,18.0,55.0,8.0,2.0,0.0,11.0,3.0,0.0,15.0,550.0,0.0,274.0,2.0,419.0,0.0,0.0,2,0.0,0.0,composite_sum,2,12395,62.372950688350656
